"plot","year","SOS_doy","EOS_doy","conv"
"PF01",2000,117,294,TRUE
"PF01",2001,152,314,TRUE
"PF01",2002,92,312,TRUE
"PF01",2003,152,294,TRUE
"PF01",2004,92,276,TRUE
"PF01",2005,110,312,TRUE
"PF01",2006,108,284,TRUE
"PF01",2007,108,291,TRUE
"PF01",2008,102,318,TRUE
"PF01",2009,128,276,TRUE
"PF01",2010,134,294,TRUE
"PF01",2011,122,324,TRUE
"PF01",2012,132,264,TRUE
"PF01",2013,120,291,TRUE
"PF01",2014,138,326,TRUE
"PF01",2015,105,282,TRUE
"PF01",2016,NA,NA,TRUE
"PF01",2017,132,318,TRUE
"PF01",2018,80,294,TRUE
"PF01",2019,120,296,TRUE
"PF01",2020,96,288,TRUE
"PF01",2021,102,318,TRUE
"PF01",2022,98,314,TRUE
"PF02",2000,92,312,TRUE
"PF02",2001,102,302,TRUE
"PF02",2002,117,326,TRUE
"PF02",2003,96,312,TRUE
"PF02",2004,110,318,TRUE
"PF02",2005,105,330,TRUE
"PF02",2006,105,330,TRUE
"PF02",2007,98,326,TRUE
"PF02",2008,102,294,TRUE
"PF02",2009,102,324,TRUE
"PF02",2010,122,291,TRUE
"PF02",2011,98,272,TRUE
"PF02",2012,110,294,TRUE
"PF02",2013,108,306,TRUE
"PF02",2014,102,272,TRUE
"PF02",2015,98,314,TRUE
"PF02",2016,102,330,TRUE
"PF02",2017,105,312,TRUE
"PF02",2018,92,324,TRUE
"PF02",2019,98,324,TRUE
"PF02",2020,108,291,TRUE
"PF02",2021,108,302,TRUE
"PF02",2022,102,291,TRUE
"PF03",2000,92,314,TRUE
"PF03",2001,102,302,TRUE
"PF03",2002,117,324,TRUE
"PF03",2003,96,312,TRUE
"PF03",2004,110,318,TRUE
"PF03",2005,108,324,TRUE
"PF03",2006,108,330,TRUE
"PF03",2007,98,324,TRUE
"PF03",2008,102,288,TRUE
"PF03",2009,98,324,TRUE
"PF03",2010,122,291,TRUE
"PF03",2011,98,266,TRUE
"PF03",2012,102,314,TRUE
"PF03",2013,108,306,TRUE
"PF03",2014,98,270,TRUE
"PF03",2015,98,312,TRUE
"PF03",2016,98,330,TRUE
"PF03",2017,105,312,TRUE
"PF03",2018,92,324,TRUE
"PF03",2019,98,324,TRUE
"PF03",2020,108,330,TRUE
"PF03",2021,110,302,TRUE
"PF03",2022,102,291,TRUE
"SF01",2000,96,306,TRUE
"SF01",2001,108,278,TRUE
"SF01",2002,108,318,TRUE
"SF01",2003,96,308,TRUE
"SF01",2004,108,318,TRUE
"SF01",2005,120,296,TRUE
"SF01",2006,110,284,TRUE
"SF01",2007,96,284,TRUE
"SF01",2008,92,324,TRUE
"SF01",2009,105,276,TRUE
"SF01",2010,96,308,TRUE
"SF01",2011,98,324,TRUE
"SF01",2012,92,314,TRUE
"SF01",2013,117,291,TRUE
"SF01",2014,105,326,TRUE
"SF01",2015,110,296,TRUE
"SF01",2016,108,308,TRUE
"SF01",2017,102,308,TRUE
"SF01",2018,98,270,TRUE
"SF01",2019,108,288,TRUE
"SF01",2020,98,330,TRUE
"SF01",2021,98,314,TRUE
"SF01",2022,96,288,TRUE
"SF02",2000,105,326,TRUE
"SF02",2001,96,308,TRUE
"SF02",2002,108,314,TRUE
"SF02",2003,114,318,TRUE
"SF02",2004,105,314,TRUE
"SF02",2005,105,294,TRUE
"SF02",2006,105,324,TRUE
"SF02",2007,102,326,TRUE
"SF02",2008,102,302,TRUE
"SF02",2009,98,308,TRUE
"SF02",2010,105,282,TRUE
"SF02",2011,92,291,TRUE
"SF02",2012,108,326,TRUE
"SF02",2013,96,324,TRUE
"SF02",2014,110,314,TRUE
"SF02",2015,105,321,TRUE
"SF02",2016,114,321,TRUE
"SF02",2017,92,308,TRUE
"SF02",2018,96,330,TRUE
"SF02",2019,98,291,TRUE
"SF02",2020,98,324,TRUE
"SF02",2021,105,302,TRUE
"SF02",2022,108,326,TRUE
"SF03",2000,105,314,TRUE
"SF03",2001,108,312,TRUE
"SF03",2002,96,294,TRUE
"SF03",2003,110,291,TRUE
"SF03",2004,114,318,TRUE
"SF03",2005,102,318,TRUE
"SF03",2006,105,308,TRUE
"SF03",2007,102,278,TRUE
"SF03",2008,117,308,TRUE
"SF03",2009,114,321,TRUE
"SF03",2010,102,324,TRUE
"SF03",2011,102,330,TRUE
"SF03",2012,108,300,TRUE
"SF03",2013,110,314,TRUE
"SF03",2014,96,330,TRUE
"SF03",2015,105,300,TRUE
"SF03",2016,96,291,TRUE
"SF03",2017,108,302,TRUE
"SF03",2018,108,321,TRUE
"SF03",2019,105,318,TRUE
"SF03",2020,105,326,TRUE
"SF03",2021,114,302,TRUE
"SF03",2022,102,306,TRUE
"SF04",2000,110,282,TRUE
"SF04",2001,105,326,TRUE
"SF04",2002,98,306,TRUE
"SF04",2003,105,302,TRUE
"SF04",2004,98,314,TRUE
"SF04",2005,92,324,TRUE
"SF04",2006,108,296,TRUE
"SF04",2007,102,288,TRUE
"SF04",2008,108,326,TRUE
"SF04",2009,105,330,TRUE
"SF04",2010,108,324,TRUE
"SF04",2011,102,330,TRUE
"SF04",2012,105,314,TRUE
"SF04",2013,108,312,TRUE
"SF04",2014,96,314,TRUE
"SF04",2015,98,306,TRUE
"SF04",2016,108,306,TRUE
"SF04",2017,102,324,TRUE
"SF04",2018,102,294,TRUE
"SF04",2019,96,326,TRUE
"SF04",2020,102,324,TRUE
"SF04",2021,110,326,TRUE
"SF04",2022,96,321,TRUE
"SF05",2000,105,321,TRUE
"SF05",2001,92,308,TRUE
"SF05",2002,98,294,TRUE
"SF05",2003,110,291,TRUE
"SF05",2004,117,321,TRUE
"SF05",2005,105,308,TRUE
"SF05",2006,105,308,TRUE
"SF05",2007,102,294,TRUE
"SF05",2008,114,308,TRUE
"SF05",2009,110,314,TRUE
"SF05",2010,105,284,TRUE
"SF05",2011,98,291,TRUE
"SF05",2012,108,296,TRUE
"SF05",2013,110,314,TRUE
"SF05",2014,98,302,TRUE
"SF05",2015,105,296,TRUE
"SF05",2016,102,308,TRUE
"SF05",2017,110,306,TRUE
"SF05",2018,108,324,TRUE
"SF05",2019,105,326,TRUE
"SF05",2020,105,330,TRUE
"SF05",2021,114,308,TRUE
"SF05",2022,102,312,TRUE
"SF06",2000,114,324,TRUE
"SF06",2001,96,312,TRUE
"SF06",2002,114,276,TRUE
"SF06",2003,110,266,TRUE
"SF06",2004,92,308,TRUE
"SF06",2005,140,291,TRUE
"SF06",2006,108,260,TRUE
"SF06",2007,102,258,TRUE
"SF06",2008,108,294,TRUE
"SF06",2009,87,284,TRUE
"SF06",2010,120,291,TRUE
"SF06",2011,114,288,TRUE
"SF06",2012,102,291,TRUE
"SF06",2013,117,306,TRUE
"SF06",2014,102,324,TRUE
"SF06",2015,122,294,TRUE
"SF06",2016,108,272,TRUE
"SF06",2017,92,270,TRUE
"SF06",2018,105,270,TRUE
"SF06",2019,108,296,TRUE
"SF06",2020,98,296,TRUE
"SF06",2021,92,296,TRUE
"SF06",2022,128,324,TRUE
"SF07",2000,114,324,TRUE
"SF07",2001,128,308,TRUE
"SF07",2002,108,291,TRUE
"SF07",2003,110,252,TRUE
"SF07",2004,98,294,TRUE
"SF07",2005,144,291,TRUE
"SF07",2006,102,324,TRUE
"SF07",2007,102,252,TRUE
"SF07",2008,144,326,TRUE
"SF07",2009,84,284,TRUE
"SF07",2010,117,288,TRUE
"SF07",2011,108,294,TRUE
"SF07",2012,102,291,TRUE
"SF07",2013,114,308,TRUE
"SF07",2014,102,326,TRUE
"SF07",2015,122,294,TRUE
"SF07",2016,110,291,TRUE
"SF07",2017,98,264,TRUE
"SF07",2018,105,266,TRUE
"SF07",2019,110,296,TRUE
"SF07",2020,98,300,TRUE
"SF07",2021,98,288,TRUE
"SF07",2022,126,326,TRUE
"SF08",2000,110,330,TRUE
"SF08",2001,105,324,TRUE
"SF08",2002,96,302,TRUE
"SF08",2003,102,300,TRUE
"SF08",2004,96,318,TRUE
"SF08",2005,108,324,TRUE
"SF08",2006,96,296,TRUE
"SF08",2007,102,284,TRUE
"SF08",2008,105,330,TRUE
"SF08",2009,105,321,TRUE
"SF08",2010,105,324,TRUE
"SF08",2011,98,324,TRUE
"SF08",2012,105,308,TRUE
"SF08",2013,108,312,TRUE
"SF08",2014,96,314,TRUE
"SF08",2015,98,306,TRUE
"SF08",2016,108,306,TRUE
"SF08",2017,102,314,TRUE
"SF08",2018,98,296,TRUE
"SF08",2019,96,318,TRUE
"SF08",2020,102,321,TRUE
"SF08",2021,108,330,TRUE
"SF08",2022,96,321,TRUE
"SF09",2000,110,282,TRUE
"SF09",2001,105,326,TRUE
"SF09",2002,98,306,TRUE
"SF09",2003,102,302,TRUE
"SF09",2004,96,314,TRUE
"SF09",2005,108,324,TRUE
"SF09",2006,96,300,TRUE
"SF09",2007,102,288,TRUE
"SF09",2008,105,321,TRUE
"SF09",2009,105,326,TRUE
"SF09",2010,105,324,TRUE
"SF09",2011,98,326,TRUE
"SF09",2012,105,308,TRUE
"SF09",2013,108,308,TRUE
"SF09",2014,96,314,TRUE
"SF09",2015,98,306,TRUE
"SF09",2016,92,302,TRUE
"SF09",2017,102,321,TRUE
"SF09",2018,98,300,TRUE
"SF09",2019,96,326,TRUE
"SF09",2020,102,324,TRUE
"SF09",2021,108,330,TRUE
"SF09",2022,96,321,TRUE
"SF10",2000,114,326,TRUE
"SF10",2001,108,308,TRUE
"SF10",2002,110,306,TRUE
"SF10",2003,114,282,TRUE
"SF10",2004,110,282,TRUE
"SF10",2005,102,306,TRUE
"SF10",2006,108,326,TRUE
"SF10",2007,102,291,TRUE
"SF10",2008,105,288,TRUE
"SF10",2009,92,321,TRUE
"SF10",2010,102,312,TRUE
"SF10",2011,98,318,TRUE
"SF10",2012,96,300,TRUE
"SF10",2013,108,306,TRUE
"SF10",2014,98,291,TRUE
"SF10",2015,108,291,TRUE
"SF10",2016,105,296,TRUE
"SF10",2017,114,300,TRUE
"SF10",2018,117,306,TRUE
"SF10",2019,102,284,TRUE
"SF10",2020,105,312,TRUE
"SF10",2021,120,294,TRUE
"SF10",2022,105,314,TRUE
"SF11",2000,114,278,TRUE
"SF11",2001,98,314,TRUE
"SF11",2002,122,314,TRUE
"SF11",2003,117,302,TRUE
"SF11",2004,110,306,TRUE
"SF11",2005,96,312,TRUE
"SF11",2006,102,291,TRUE
"SF11",2007,105,300,TRUE
"SF11",2008,105,284,TRUE
"SF11",2009,102,291,TRUE
"SF11",2010,110,314,TRUE
"SF11",2011,92,312,TRUE
"SF11",2012,105,294,TRUE
"SF11",2013,92,326,TRUE
"SF11",2014,117,302,TRUE
"SF11",2015,128,306,TRUE
"SF11",2016,117,321,TRUE
"SF11",2017,98,308,TRUE
"SF11",2018,120,312,TRUE
"SF11",2019,96,324,TRUE
"SF11",2020,98,296,TRUE
"SF11",2021,105,306,TRUE
"SF11",2022,98,330,TRUE
"SF12",2000,92,314,TRUE
"SF12",2001,98,296,TRUE
"SF12",2002,114,294,TRUE
"SF12",2003,96,302,TRUE
"SF12",2004,102,321,TRUE
"SF12",2005,108,308,TRUE
"SF12",2006,128,288,TRUE
"SF12",2007,96,324,TRUE
"SF12",2008,102,324,TRUE
"SF12",2009,92,296,TRUE
"SF12",2010,122,324,TRUE
"SF12",2011,96,288,TRUE
"SF12",2012,108,284,TRUE
"SF12",2013,98,326,TRUE
"SF12",2014,96,326,TRUE
"SF12",2015,102,291,TRUE
"SF12",2016,98,321,TRUE
"SF12",2017,105,308,TRUE
"SF12",2018,96,326,TRUE
"SF12",2019,96,296,TRUE
"SF12",2020,102,318,TRUE
"SF12",2021,102,324,TRUE
"SF12",2022,105,318,TRUE
"SF13",2000,96,314,TRUE
"SF13",2001,102,296,TRUE
"SF13",2002,108,306,TRUE
"SF13",2003,98,314,TRUE
"SF13",2004,102,321,TRUE
"SF13",2005,108,312,TRUE
"SF13",2006,117,308,TRUE
"SF13",2007,98,326,TRUE
"SF13",2008,102,324,TRUE
"SF13",2009,92,300,TRUE
"SF13",2010,122,324,TRUE
"SF13",2011,96,288,TRUE
"SF13",2012,108,284,TRUE
"SF13",2013,96,326,TRUE
"SF13",2014,92,326,TRUE
"SF13",2015,102,330,TRUE
"SF13",2016,102,321,TRUE
"SF13",2017,108,308,TRUE
"SF13",2018,98,324,TRUE
"SF13",2019,105,308,TRUE
"SF13",2020,102,318,TRUE
"SF13",2021,108,324,TRUE
"SF13",2022,105,312,TRUE
"SF14",2000,102,321,TRUE
"SF14",2001,96,308,TRUE
"SF14",2002,105,314,TRUE
"SF14",2003,114,284,TRUE
"SF14",2004,105,326,TRUE
"SF14",2005,108,318,TRUE
"SF14",2006,126,291,TRUE
"SF14",2007,96,272,TRUE
"SF14",2008,98,326,TRUE
"SF14",2009,92,306,TRUE
"SF14",2010,122,288,TRUE
"SF14",2011,96,291,TRUE
"SF14",2012,105,288,TRUE
"SF14",2013,102,294,TRUE
"SF14",2014,96,318,TRUE
"SF14",2015,102,296,TRUE
"SF14",2016,117,324,TRUE
"SF14",2017,96,308,TRUE
"SF14",2018,98,330,TRUE
"SF14",2019,102,312,TRUE
"SF14",2020,105,284,TRUE
"SF14",2021,92,326,TRUE
"SF14",2022,108,288,TRUE
"SF15",2000,105,324,TRUE
"SF15",2001,96,308,TRUE
"SF15",2002,102,318,TRUE
"SF15",2003,114,284,TRUE
"SF15",2004,105,330,TRUE
"SF15",2005,108,318,TRUE
"SF15",2006,126,291,TRUE
"SF15",2007,96,276,TRUE
"SF15",2008,92,326,TRUE
"SF15",2009,96,314,TRUE
"SF15",2010,122,288,TRUE
"SF15",2011,98,288,TRUE
"SF15",2012,105,291,TRUE
"SF15",2013,105,296,TRUE
"SF15",2014,96,312,TRUE
"SF15",2015,105,296,TRUE
"SF15",2016,92,326,TRUE
"SF15",2017,92,308,TRUE
"SF15",2018,98,291,TRUE
"SF15",2019,98,312,TRUE
"SF15",2020,105,284,TRUE
"SF15",2021,134,326,TRUE
"SF15",2022,108,291,TRUE
"SF16",2000,102,321,TRUE
"SF16",2001,108,294,TRUE
"SF16",2002,108,302,TRUE
"SF16",2003,102,276,TRUE
"SF16",2004,132,296,TRUE
"SF16",2005,102,294,TRUE
"SF16",2006,105,306,TRUE
"SF16",2007,105,308,TRUE
"SF16",2008,114,288,TRUE
"SF16",2009,96,306,TRUE
"SF16",2010,117,356,TRUE
"SF16",2011,138,306,TRUE
"SF16",2012,108,264,TRUE
"SF16",2013,117,318,TRUE
"SF16",2014,96,312,TRUE
"SF16",2015,114,296,TRUE
"SF16",2016,105,302,TRUE
"SF16",2017,96,270,TRUE
"SF16",2018,105,264,TRUE
"SF16",2019,110,270,TRUE
"SF16",2020,138,302,TRUE
"SF16",2021,105,288,TRUE
"SF16",2022,96,288,TRUE
"SF17",2000,105,321,TRUE
"SF17",2001,110,291,TRUE
"SF17",2002,108,302,TRUE
"SF17",2003,102,272,TRUE
"SF17",2004,132,330,TRUE
"SF17",2005,105,296,TRUE
"SF17",2006,105,306,TRUE
"SF17",2007,105,306,TRUE
"SF17",2008,108,284,TRUE
"SF17",2009,96,312,TRUE
"SF17",2010,117,342,TRUE
"SF17",2011,132,306,TRUE
"SF17",2012,108,264,TRUE
"SF17",2013,117,318,TRUE
"SF17",2014,96,306,TRUE
"SF17",2015,92,296,TRUE
"SF17",2016,108,296,TRUE
"SF17",2017,96,270,TRUE
"SF17",2018,105,264,TRUE
"SF17",2019,92,272,TRUE
"SF17",2020,128,296,TRUE
"SF17",2021,105,288,TRUE
"SF17",2022,96,284,TRUE
"SF18",2000,96,300,TRUE
"SF18",2001,117,326,TRUE
"SF18",2002,105,296,TRUE
"SF18",2003,98,312,TRUE
"SF18",2004,105,312,TRUE
"SF18",2005,96,312,TRUE
"SF18",2006,110,291,TRUE
"SF18",2007,98,272,TRUE
"SF18",2008,114,314,TRUE
"SF18",2009,98,314,TRUE
"SF18",2010,114,321,TRUE
"SF18",2011,96,296,TRUE
"SF18",2012,98,312,TRUE
"SF18",2013,105,314,TRUE
"SF18",2014,96,308,TRUE
"SF18",2015,110,321,TRUE
"SF18",2016,102,302,TRUE
"SF18",2017,96,296,TRUE
"SF18",2018,102,314,TRUE
"SF18",2019,102,312,TRUE
"SF18",2020,98,300,TRUE
"SF18",2021,102,308,TRUE
"SF18",2022,96,306,TRUE
"SF19",2000,108,326,TRUE
"SF19",2001,105,314,TRUE
"SF19",2002,96,296,TRUE
"SF19",2003,105,314,TRUE
"SF19",2004,110,330,TRUE
"SF19",2005,105,291,TRUE
"SF19",2006,98,291,TRUE
"SF19",2007,92,272,TRUE
"SF19",2008,102,318,TRUE
"SF19",2009,98,272,TRUE
"SF19",2010,96,291,TRUE
"SF19",2011,98,291,TRUE
"SF19",2012,110,324,TRUE
"SF19",2013,105,291,TRUE
"SF19",2014,96,300,TRUE
"SF19",2015,110,330,TRUE
"SF19",2016,102,324,TRUE
"SF19",2017,98,276,TRUE
"SF19",2018,105,312,TRUE
"SF19",2019,92,302,TRUE
"SF19",2020,105,306,TRUE
"SF19",2021,108,312,TRUE
"SF19",2022,102,324,TRUE
"SF20",2000,98,300,TRUE
"SF20",2001,120,321,TRUE
"SF20",2002,105,306,TRUE
"SF20",2003,108,321,TRUE
"SF20",2004,105,294,TRUE
"SF20",2005,96,284,TRUE
"SF20",2006,98,276,TRUE
"SF20",2007,92,288,TRUE
"SF20",2008,120,308,TRUE
"SF20",2009,98,326,TRUE
"SF20",2010,114,326,TRUE
"SF20",2011,102,288,TRUE
"SF20",2012,98,314,TRUE
"SF20",2013,105,312,TRUE
"SF20",2014,96,330,TRUE
"SF20",2015,117,321,TRUE
"SF20",2016,108,324,TRUE
"SF20",2017,105,296,TRUE
"SF20",2018,105,318,TRUE
"SF20",2019,96,314,TRUE
"SF20",2020,105,308,TRUE
"SF20",2021,132,296,TRUE
"SF20",2022,102,318,TRUE
"SF21",2000,98,296,TRUE
"SF21",2001,96,312,TRUE
"SF21",2002,96,291,TRUE
"SF21",2003,126,302,TRUE
"SF21",2004,120,272,TRUE
"SF21",2005,114,306,TRUE
"SF21",2006,102,296,TRUE
"SF21",2007,114,330,TRUE
"SF21",2008,114,284,TRUE
"SF21",2009,92,324,TRUE
"SF21",2010,110,314,TRUE
"SF21",2011,102,330,TRUE
"SF21",2012,98,326,TRUE
"SF21",2013,110,272,TRUE
"SF21",2014,105,291,TRUE
"SF21",2015,114,296,TRUE
"SF21",2016,96,288,TRUE
"SF21",2017,96,296,TRUE
"SF21",2018,90,300,TRUE
"SF21",2019,126,324,TRUE
"SF21",2020,96,266,TRUE
"SF21",2021,117,276,TRUE
"SF21",2022,108,276,TRUE
